step,mode,current_altitude_ft,selected_altitude_ft,target_speed_kts,cmd_mode,cmd_vs_fpm,cmd_speed_kts,distance_to_next_nm
217,CLIMB,5425,10000,280,CLIMB,1500,280,306.756
218,CLIMB,5450,10000,280,CLIMB,1500,280,305.018
219,CLIMB,5475,10000,280,CLIMB,1500,280,303.28
220,CLIMB,5500,10000,280,CLIMB,1500,280,301.542
221,CLIMB,5525,10000,280,CLIMB,1500,280,299.804
222,CLIMB,5550,10000,280,CLIMB,1500,280,298.066
223,CLIMB,5575,10000,280,CLIMB,1500,280,296.328
224,CLIMB,5600,10000,280,CLIMB,1500,280,294.59
225,CLIMB,5625,10000,280,CLIMB,1500,280,292.852
226,CLIMB,5650,10000,280,CLIMB,1500,280,291.114
227,CLIMB,5675,10000,280,CLIMB,1500,280,289.376
228,CLIMB,5700,10000,280,CLIMB,1500,280,287.638
229,CLIMB,5725,10000,280,CLIMB,1500,280,285.9
230,CLIMB,5750,10000,280,CLIMB,1500,280,284.162
231,CLIMB,5775,10000,280,CLIMB,1500,280,282.424
232,CLIMB,5800,10000,280,CLIMB,1500,280,280.686
233,CLIMB,5825,10000,280,CLIMB,1500,280,278.948
234,CLIMB,5850,10000,280,CLIMB,1500,280,277.21
235,CLIMB,5875,10000,280,CLIMB,1500,280,275.472
236,CLIMB,5900,10000,280,CLIMB,1500,280,273.734
237,CLIMB,5925,10000,280,CLIMB,1500,280,271.996
238,CLIMB,5950,10000,280,CLIMB,1500,280,270.259
239,CLIMB,5975,10000,280,CLIMB,1500,280,268.521
240,CLIMB,6000,10000,280,CLIMB,1500,280,266.783
241,CLIMB,6025,10000,280,CLIMB,1500,280,265.045
242,CLIMB,6050,10000,280,CLIMB,1500,280,263.307
243,CLIMB,6075,10000,280,CLIMB,1500,280,261.569
244,CLIMB,6100,10000,280,CLIMB,1500,280,259.831
245,CLIMB,6125,10000,280,CLIMB,1500,280,258.093
246,CLIMB,6150,10000,280,CLIMB,1500,280,256.355
247,CLIMB,6175,10000,280,CLIMB,1500,280,254.617
248,CLIMB,6200,10000,280,CLIMB,1500,280,252.879
249,CLIMB,6225,10000,280,CLIMB,1500,280,251.141
250,CLIMB,6250,10000,280,CLIMB,1500,280,249.403
251,CLIMB,6275,10000,280,CLIMB,1500,280,247.665
252,CLIMB,6300,10000,280,CLIMB,1500,280,245.927
253,CLIMB,6325,10000,280,CLIMB,1500,280,244.189
254,CLIMB,6350,10000,280,CLIMB,1500,280,242.451
255,CLIMB,6375,10000,280,CLIMB,1500,280,240.713
256,CLIMB,6400,10000,280,CLIMB,1500,280,238.975
257,CLIMB,6425,10000,280,CLIMB,1500,280,237.237
258,CLIMB,6450,10000,280,CLIMB,1500,280,235.499
259,CLIMB,6475,10000,280,CLIMB,1500,280,233.762
260,CLIMB,6500,10000,280,CLIMB,1500,280,232.024
261,CLIMB,6525,10000,280,CLIMB,1500,280,230.286
262,CLIMB,6550,10000,280,CLIMB,1500,280,228.548
263,CLIMB,6575,10000,280,CLIMB,1500,280,226.81
264,CLIMB,6600,10000,280,CLIMB,1500,280,225.072
265,CLIMB,6625,10000,280,CLIMB,1500,280,223.334
266,CLIMB,6650,10000,280,CLIMB,1500,280,221.596
267,CLIMB,6675,10000,280,CLIMB,1500,280,219.858
268,CLIMB,6700,10000,280,CLIMB,1500,280,218.12
269,CLIMB,6725,10000,280,CLIMB,1500,280,216.382
270,CLIMB,6750,10000,280,CLIMB,1500,280,214.644
271,CLIMB,6775,10000,280,CLIMB,1500,280,212.906
272,CLIMB,6800,10000,280,CLIMB,1500,280,211.168
273,CLIMB,6825,10000,280,CLIMB,1500,280,209.43
274,CLIMB,6850,10000,280,CLIMB,1500,280,207.692
275,CLIMB,6875,10000,280,CLIMB,1500,280,205.954
276,CLIMB,6900,10000,280,CLIMB,1500,280,204.216
277,CLIMB,6925,10000,280,CLIMB,1500,280,202.478
278,CLIMB,6950,10000,280,CLIMB,1500,280,200.74
279,CLIMB,6975,10000,280,CLIMB,1500,280,199.003
280,CLIMB,7000,10000,280,CLIMB,1500,280,197.265
281,CLIMB,7025,10000,280,CLIMB,1500,280,195.527
282,CLIMB,7050,10000,280,CLIMB,1500,280,193.789
283,CLIMB,7075,10000,280,CLIMB,1500,280,192.051
284,CLIMB,7100,10000,280,CLIMB,1500,280,190.313
285,CLIMB,7125,10000,280,CLIMB,1500,280,188.575
286,CLIMB,7150,10000,280,CLIMB,1500,280,186.837
287,CLIMB,7175,10000,280,CLIMB,1500,280,185.099
288,CLIMB,7200,10000,280,CLIMB,1500,280,183.361
289,CLIMB,7225,10000,280,CLIMB,1500,280,181.623
290,CLIMB,7250,10000,280,CLIMB,1500,280,179.885
291,CLIMB,7275,10000,280,CLIMB,1500,280,178.147
292,CLIMB,7300,10000,280,CLIMB,1500,280,176.409
293,CLIMB,7325,10000,280,CLIMB,1500,280,174.671
294,CLIMB,7350,10000,280,CLIMB,1500,280,172.933
295,CLIMB,7375,10000,280,CLIMB,1500,280,171.195
296,CLIMB,7400,10000,280,CLIMB,1500,280,169.457
297,CLIMB,7425,10000,280,CLIMB,1500,280,167.719
298,CLIMB,7450,10000,280,CLIMB,1500,280,165.981
299,CLIMB,7475,10000,280,CLIMB,1500,280,164.243
300,CLIMB,7500,10000,280,CLIMB,1500,280,162.506
301,CLIMB,7525,10000,280,CLIMB,1500,280,160.768
302,CLIMB,7550,10000,280,CLIMB,1500,280,159.03
303,CLIMB,7575,10000,280,CLIMB,1500,280,157.292
304,CLIMB,7600,10000,280,CLIMB,1500,280,155.554
305,CLIMB,7625,10000,280,CLIMB,1500,280,153.816
306,CLIMB,7650,10000,280,CLIMB,1500,280,152.078
307,CLIMB,7675,10000,280,CLIMB,1500,280,150.34
308,CLIMB,7700,10000,280,CLIMB,1500,280,148.602
309,CLIMB,7725,10000,280,CLIMB,1500,280,146.864
310,CLIMB,7750,10000,280,CLIMB,1500,280,145.126
311,CLIMB,7775,10000,280,CLIMB,1500,280,143.388
312,CLIMB,7800,10000,280,CLIMB,1500,280,141.65
313,CLIMB,7825,10000,280,CLIMB,1500,280,139.912
314,CLIMB,7850,10000,280,CLIMB,1500,280,138.174
315,CLIMB,7875,10000,280,CLIMB,1500,280,136.436
316,CLIMB,7900,10000,280,CLIMB,1500,280,134.698
317,CLIMB,7925,10000,280,CLIMB,1500,280,132.96
318,CLIMB,7950,10000,280,CLIMB,1500,280,131.222
319,CLIMB,7975,10000,280,CLIMB,1500,280,129.484
320,CLIMB,8000,10000,280,CLIMB,1500,280,127.746
321,CLIMB,8025,10000,280,CLIMB,1500,280,126.009
322,CLIMB,8050,10000,280,CLIMB,1500,280,124.271
323,CLIMB,8075,10000,280,CLIMB,1500,280,122.533
324,CLIMB,8100,10000,280,CLIMB,1500,280,120.795
325,CLIMB,8125,10000,280,CLIMB,1500,280,119.057
326,CLIMB,8150,10000,280,CLIMB,1500,280,117.319
327,CLIMB,8175,10000,280,CLIMB,1500,280,115.581
328,CLIMB,8200,10000,280,CLIMB,1500,280,113.843
329,CLIMB,8225,10000,280,CLIMB,1500,280,112.105
330,CLIMB,8250,10000,280,CLIMB,1500,280,110.367
331,CLIMB,8275,10000,280,CLIMB,1500,280,108.629
332,CLIMB,8300,10000,280,CLIMB,1500,280,106.891
333,CLIMB,8325,10000,280,CLIMB,1500,280,105.153
334,CLIMB,8350,10000,280,CLIMB,1500,280,103.415
335,CLIMB,8375,10000,280,CLIMB,1500,280,101.677
336,CLIMB,8400,10000,280,CLIMB,1500,280,99.9393
337,CLIMB,8425,10000,280,CLIMB,1500,280,98.2013
338,CLIMB,8450,10000,280,CLIMB,1500,280,96.4634
339,CLIMB,8475,10000,280,CLIMB,1500,280,94.7254
340,CLIMB,8500,10000,280,CLIMB,1500,280,92.9875
341,CLIMB,8525,10000,280,CLIMB,1500,280,91.2495
342,CLIMB,8550,10000,280,CLIMB,1500,280,89.5116
343,CLIMB,8575,10000,280,CLIMB,1500,280,87.7736
344,CLIMB,8600,10000,280,CLIMB,1500,280,86.0357
345,CLIMB,8625,10000,280,CLIMB,1500,280,84.2977
346,CLIMB,8650,10000,280,CLIMB,1500,280,82.5598
347,CLIMB,8675,10000,280,CLIMB,1500,280,80.8218
348,CLIMB,8700,10000,280,CLIMB,1500,280,79.0838
349,CLIMB,8725,10000,280,CLIMB,1500,280,77.3459
350,CLIMB,8750,10000,280,CLIMB,1500,280,75.6079
351,CLIMB,8775,10000,280,CLIMB,1500,280,73.87
352,CLIMB,8800,10000,280,CLIMB,1500,280,72.132
